"nom","annee","groupe","temp_RF_moy","pr_RF_total","neige_pct","gels_RF_total","SMOD_dayofyear","nb_jours_neige_printemps","nb_jours_neige_avril","nb_jours_neige_mai","NDSI_moy_printemps","NDSI_max_printemps","premier_jour_sans_neige","nb_episodes_printemps","pct_donnees_valides","soil_temp_upper_moy","soil_moisture_moy","swe_max","snow_depth_max","etp_total","humidity_moy","solar_radiation_moy","wind_speed_moy","SOD_modis","SMOD_modis","SCD","duree_saison","continuite","NDSI_moy_modis","NDSI_max_modis","NDSI_med","jour_pic_NDSI","vitesse_fonte","nb_redoux","LFD_nival"
"CADI_POP1",2018,"Autres sites",4.75446845625184,1111.19999575702,36.1111111111111,109.213868127782,108,3,3,0,64.3,68,116,3,14.8,11.572602739726,0.256134246575342,31.4,0.124,902.3,70.5249315068493,1360.95917808219,1.88876712328767,62,224,12,163,0.0736196319018405,59.1666666666667,77,59,62,0.0293276467636729,4,326
"CADI_POP1",2019,"Autres sites",4.68604475956888,735.426576677027,11.8371212121212,106.371566788038,102,3,3,0,61.3,68,118,3,27.9,12.1501369863014,0.247194520547945,44.8,0.255,1019.8,63.9608219178082,1503.19424657534,1.99232876712329,77,259,18,183,0.0983606557377049,59.2222222222222,80,58,146,0.249632132541283,5,319
"CADI_POP1",2020,"Autres sites",5.0454141087486,825.295242202704,17.0156695156695,100.989185576654,137,2,1,1,48,53,123,2,16.4,12.3486338797814,0.26581693989071,39.5,0.172,925.5,69.2232240437158,1371.44371584699,1.75628415300546,91,177,11,87,0.126436781609195,55.1818181818182,76,51,146,0.158788774002954,3,318
"CADI_POP1",2021,"Autres sites",4.61424281805855,595.153380738651,12.4553571428571,111.117085141649,55,0,0,0,NA,11,91,0,29.5,11.6460273972603,0.241331506849315,73.2,0.378,898.3,68.6005479452055,1390.81671232877,1.71835616438356,86,215,13,130,0.1,57.4615384615385,70,55,89,0.0989636746370163,3,NA
"CADI_POP2",2000,"Autres sites",4.82507713683017,727.522792556627,16.5151515151515,97.7874155490356,108,3,3,0,73.7,77,115,3,16.7,11.9434426229508,0.253472677595628,28.2,0.137,961.3,66.9781420765027,1512.80519125683,2.11475409836066,85,178,30,94,0.319148936170213,71.9666666666667,84,73,125,0.384302398791161,1,318
"CADI_POP2",2001,"Autres sites",4.56039834370065,680.079965946553,29.5098039215686,100.723729649844,56,0,0,0,NA,30,91,0,36.1,11.7213698630137,0.24272602739726,49.4,0.255,966.4,67.3021917808219,1543.78931506849,2.15424657534247,80,349,39,270,0.144444444444444,68.9230769230769,85,70,229,0.254865434580126,6,324
"CADI_POP2",2002,"Autres sites",4.26620332081448,823.244061592112,29.0443121693122,102.557880125818,133,7,5,2,74.9,85,118,6,28.3,11.381095890411,0.254071232876712,56.2,0.185,882,70.6013698630137,1442.88082191781,2.01698630136986,77,225,49,149,0.328859060402685,71.2244897959184,93,72,184,0.547109282376734,2,321
"CADI_POP2",2003,"Autres sites",4.53281293991897,852.294621179692,46.3293650793651,104.933954529466,103,5,5,0,67.4,83,117,2,27.9,12.0939726027397,0.248597260273973,189.6,0.81,963.1,70.1394520547945,1494.70493150685,2.06712328767123,65,256,44,192,0.229166666666667,70.5909090909091,90,72.5,219,0.529535864978902,3,279
"CADI_POP2",2004,"Autres sites",4.33696180525992,736.710894173419,37.5407925407925,109.47261393392,134,9,8,1,71.6,90,142,6,18,11.2666666666667,0.251833333333333,52.3,0.294,920.3,69.4896174863388,1468.38907103825,2.00409836065574,63,228,25,166,0.150602409638554,66.64,86,67,102,0.117709783609033,3,318
"CADI_POP2",2005,"Autres sites",4.52980696427749,649.518490070823,26.7472519310755,106.377025675061,106,1,1,0,67,67,91,1,39.3,11.1282191780822,0.23947397260274,129.8,0.581,953.3,66.5920547945205,1473.60547945205,2.15068493150685,77,316,72,240,0.3,76.6805555555556,90,79,190,0.196412143514259,1,322
